Fish Name
Myxine glutinosa
Lampetra fluviatilis
Petromyzon marinus
Chimaera monstrosa
Sharpnose sevengill shark
Bluntnose sixgill shark
Bigeyed sixgill shark
Bramble shark
Gulper shark
Dalatias licha
Etmopterus spinax
Oxynotus centrina
Centroscymnus coelolepis
Somniosus rostratus
Squalus acanthias
Squalus blainvillei
Squalus megalops
Squalus uyato
Squatina aculeata
Squatina oculata
Squatina squatina
Galeus atlanticus
Galeus melastomus
Scyliorhinus canicula
Scyliorhinus stellaris
Galeorhinus galeus
Mustelus asterias
Mustelus mustelus
Mustelus punctulatus
Carcharias taurus
Odontaspis ferox
Alopias superciliosus
Alopias vulpinus
Cetorhinus maximus
Carcharodon carcharias
Isurus oxyrinchus
Lamna nasus
Carcharhinus altimus
Carcharhinus amboinensis
Carcharhinus brachyurus
Carcharhinus brevipinna
Carcharhinus falciformis
Carcharhinus limbatus
Carcharhinus longimanus
Carcharhinus melanopterus
Carcharhinus obscurus
Carcharhinus plumbeus
Galeocerdo cuvier
Prionace glauca
Rhizoprionodon acutus
Sphyrna lewini
Sphyrna mokarran
Sphyrna tudes
Sphyrna zygaena
Pristis pectinata
Pristis pristis
Torpedo fuscomaculata
Torpedo marmorata
Torpedo nobiliana
Torpedo torpedo
Glaucostegus halavi
Rhinobatos cemiculus
Rhinobatos rhinobatos
Dipturus batis
Dipturus oxyrinchus
Leucoraja circularis
Leucoraja fullonica
Leucoraja melitensis
Leucoraja naevus
Raja africana
Raja asterias
Raja brachyura
Raja clavata
Raja miraletus
Raja montagui
Raja polystigma
Raja radula
Raja rondeleti
Raja undulata
Rostroraja alba
Dasyatis centroura
Dasyatis chrysonota
Dasyatis marmorata
Dasyatis pastinaca
Dasyatis tortonesei
Himantura uarnak
Pteroplatytrygon violacea
Taeniura grabata
Urogymnus asperrimus
Gymnura altavela
Mobula mobular
Myliobatis aquila
Pteromylaeus bovinus
Rhinoptera marginata
Acipenser naccarii
Acipenser stellatus
Acipenser sturio
Huso huso
Anguilla anguilla
Ariosoma balearicum
Conger conger
Gnathophis mystax
Rhynchoconger trewavasae
Chlopsis bicolor
Panturichthys fowleri
Anarchias euryurus
Enchelycore anatina
Gymnothorax unicolor
Muraena helena
Cynoponticus ferox
Muraenesox cinereus
Nemichthys scolopaceus
Facciolella oxyrhyncha
Nettastoma melanurum
Saurenchelys cancrivora
Apterichtus anguiformis
Apterichtus caecus
Dalophis imberbis
Echelus myrus
Mystriophis crosnieri
Ophichthus ophis
Ophichthus rufus
Ophisurus serpens
Pisodonophis semicinctus
Serrivomer brevidentatus
Dysomma brevirostre
Halosaurus ovenii
Notacanthus bonaparte
Polyacanthonotus rissoanus
Alosa agone
Alosa alosa
Alosa fallax
Dussumieria elopsoides
Etrumeus teres
Herklotsichthys punctatus
Sardina pilchardus
Sardinella aurita
Sardinella maderensis
Spratelloides delicatulus
Sprattus sprattus
Engraulis encrasicolus
Arius parkii
Netuma thalassina
Plotosus lineatus
Argentina sphyraena
Alepocephalus rostratus
Glossanodon leioglossus
Microstoma microstoma
Nansenia iberica
Nansenia oblita
Salmo salar
Salmo trutta
Argyropelecus hemigymnus
Argyropelecus olfersii
Maurolicus muelleri
Cyclothone braueri
Cyclothone microdon
Cyclothone pygmaea
Gonostoma denudatum
Valenciennellus tripunctulatus
Bathophilus nigerrimus
Bathophilus vaillanti
Borostomias antarcticus
Chauliodus sloani
Stomias boa
Ichthyococcus ovatus
Vinciguerria attenuata
Vinciguerria poweriae
Alepisaurus ferox
Aulopus filamentosus
Chlorophthalmus agassizi
Bathysaurus mollis
Bathypterois dubius
Bathypterois grallator
Evermannella balbo
Arctozenus rissi
Lestidiops jayakari
Lestidiops sphyrenoides
Lestidium atlanticum
Paralepis coregonoides
Paralepis speciosa
Sudis hyalina
Saurida undosquamis
Synodus saurus
Benthosema glaciale
Ceratoscopelus maderensis
Diaphus holti
Diaphus metopoclampus
Diaphus rafinesquii
Diogenichthys atlanticus
Electrona risso
Gonichthys cocco
Hygophum benoiti
Hygophum hygomii
Lampanyctus crocodilus
Lampanyctus pusillus
Lobianchia dofleini
Lobianchia gemellarii
Myctophum punctatum
Notoscopelus bolini
Notoscopelus elongatus
Notoscopelus kroyeri
Symbolophorus veranyi
Zeus faber
Zenopsis conchifer
Coelorinchus caelorhincus
Coelorinchus occa
Coryphaenoides guentheri
Coryphaenoides mediterraneus
Hymenocephalus italicus
Nezumia aequalis
Nezumia sclerorhynchus
Trachyrincus scabrus
Merluccius merluccius
Eretmophorus kleinenbergi
Gadella maraldi
Guttigadus latifrons
Lepidion guentheri
Lepidion lepidion
Mora moro
Physiculus dalwigki
Rhynchogadus hepaticus
Phycis blennoides
Phycis phycis
Gaidropsarus biscayensis
Gaidropsarus granti
Gaidropsarus mediterraneus
Gaidropsarus vulgaris
Molva dypterygia
Molva macrophthalma
Molva molva
Gadiculus argenteus
Merlangius merlangus
Micromesistius poutassou
Trisopterus luscus
Trisopterus minutus
Beryx decadactylus
Beryx splendens
Sargocentron praslin
Sargocentron rubrum
Aulotrachichthys sajademalensis
Gephyroberyx darwinii
Hoplostethus mediterraneus
Lampris guttatus
Lophotus lacepede
Regalecus glesne
Trachipterus arcticus
Trachipterus trachypterus
Zu cristatus
Lophius budegassa
Lophius piscatorius
Chaunax suttkusi
Bellottia apoda
Cataetyx alleni
Cataetyx laticeps
Grammonus ater
Carapus acus
Echiodon dentatus
Echiodon drummondii
Benthocometes robustus
Ophidion barbatum
Ophidion rochei
Parophidion vassali
Chelon labrosus
Liza aurata
Liza carinata
Liza haematocheila
Liza ramada
Liza saliens
Mugil cephalus
Oedalechilus labeo
Atherina boyeri
Atherina hepsetus
Atherina presbyter
Atherinomorus lacunosus
Belone belone
Belone svetovidovi
Tylosurus acus
Tylosurus choram
Scomberesox saurus saurus
Cheilopogon exsiliens
Cheilopogon furcatus
Cheilopogon heterurus
Exocoetus obtusirostris
Exocoetus volitans
Hirundichthys rondeletii
Hirundichthys speculiger
Parexocoetus mento
Hemiramphus far
Hyporhamphus affinis
Hyporhamphus picarti
Aphanius dispar dispar
Aphanius fasciatus
Aphanius iberus
Fistularia commersonii
Fistularia petimba
Macroramphosus scolopax
Entelurus aequoreus
Hippocampus fuscus
Hippocampus guttulatus
Hippocampus hippocampus
Minyichthys sentus
Nerophis lumbriciformis
Nerophis maculatus
Nerophis ophidion
Syngnathus abaster
Syngnathus acus
Syngnathus phlegon
Syngnathus rostellatus
Syngnathus taenionotus
Syngnathus tenuirostris
Syngnathus typhle
Anthias anthias
Cephalopholis taeniops
Epinephelus aeneus
Epinephelus caninus
Epinephelus coioides
Epinephelus costae
Epinephelus malabaricus
Epinephelus marginatus
Hyporthodus haifensis
Mycteroperca rubra
Serranus atricauda
